Date,Time,Duration (seconds),Plans after class,Temp (F),Wind speed (mph),Bike lane traffic level,Stoplight duration (sec)
2026-04-20,12:00,363,yes,70,4,med,0
2026-04-21,12:20,320,no,68,10,low,5
2026-04-22,12:20,381,no,65,3,low,2
2026-04-23,11:00,367,no,73,2,med,0
2026-04-24,1:00,394,no,68,15,low,0
2026-05-19,12:15,315,yes,68,6,low,0
2026-05-19,6:15,325,yes,72,8,low,2
2026-05-21,12:00,370,yes,70,7,med,0
2026-05-22,11:50,390,yes,66,4,low,5
2026-05-23,3:00,330,yes,65,5,low,0
2026-05-24,1:00,372,no,64,2,low,0
2026-04-26,12:30,381,no,70,10,med,2
2026-04-28,2:00,371,no,69,8,low,0
2026-04-29,12:00,354,no,66,2,low,2
2026-04-30,11:50,359,yes,64,3,med,0
2026-05-11,3:00,332,yes,70,2,low,5
2026-05-26,12:20,300,no,65,4,low,0
2026-05-26,6:15,310,yes,66,9,low,4
,,340,no,,5,,
,,360,yes,,11,,
,,330,yes,,3,,
,,340,yes,,6,,
,,370,no,,5,,
,,350,no,,2,,
,,330,no,,5,,
,,320,yes,,3,,
,,360,yes,,9,,
,,380,no,,7,,
,,360,yes,,13,,
,,370,no,,14,,
